Date,Rainfall (mm),temp_max (⁰C),humidity_min (%),Humidity_max (%),wind_speed_min (Kmph),wind_speed_max (Kmph)
2018-07-07,11.175,29.41875,76.88125,98.09375,0.28,12.08
2018-07-08,12.5875,32.8,55.075,96.94375,0.013333333,15.16666667
2018-07-09,0.1625,31.76875,58.475,85.1375,0.36,13.9
2018-07-10,0.0,34.4,49.93125,95.14375,0.0,5.626666667
2018-07-11,0.0,35.05625,45.4875,93.65,0.0,5.666666667
2018-07-12,0.1125,31.80625,54.85625,92.58125,0.06,7.486666667
2018-07-13,1.93125,28.98125,76.6625,96.4,0.04,12.20666667
2018-07-14,28.83125,30.7125,75.9375,96.70625,0.173333333,11.46
2018-07-15,10.4125,28.86875,85.91875,97.64375,0.02,10.48666667
2018-07-16,3.575,29.125,81.525,97.1125,0.726666667,10.58
2018-07-17,0.55625,29.7,78.76875,95.21875,1.746666667,16.07333333
2018-07-18,5.7125,30.7875,78.9625,95.51875,0.2,12.2
2018-07-19,0.13125,33.6375,63.06875,85.5625,0.026666667,12.74
2018-07-20,32.0125,33.5,62.84375,97.0875,0.0,11.89333333
2018-07-21,13.20625,30.125,83.65625,98.61875,0.0,9.493333333
2018-07-22,0.76875,28.525,84.26875,97.2,0.093333333,8.966666667
2018-07-23,0.5125,30.7375,77.98125,93.56875,1.08,11.48666667
2018-07-24,0.30625,32.1125,67.23125,95.1375,0.0,11.61333333
2018-07-25,4.175,32.94375,70.25625,94.8125,0.0,7.253333333
2018-07-26,0.0,33.75625,59.3625,92.29375,0.0,10.35333333
2018-07-27,0.11875,32.39375,61.93125,88.86875,0.0,14.01333333
2018-07-28,0.0875,33.88125,56.98125,82.11875,0.18,12.00666667
2018-07-29,0.1625,33.21875,60.69375,92.3,0.0,11.07333333
2018-07-30,0.01875,33.45625,56.6,84.70625,0.126666667,11.34666667
2018-07-31,0.05,34.25625,50.75625,79.19375,0.0,12.87333333
2018-08-01,0.0,31.001875,38.35625,91.2,0.0,7.22
2018-08-02,0.0375,30.48125,35.4,87.5125,0.1,5.913333333
2018-08-03,0.0,36.325,21.3625,70.8125,0.0,8.933333333
2018-08-04,12.7125,37.49375,26.4,91.23125,0.146666667,10.32666667
2018-08-05,0.0,41.10625,29.0375,75.375,0.246666667,9.493333333
2018-08-06,0.2875,35.75625,50.525,94.38125,0.353333333,11.54
2018-08-07,21.41875,27.75625,75.89375,98.05625,0.713333333,10.73333333
2018-08-08,4.33125,30.1375,74.5875,97.45625,0.0,12.64666667
2018-08-09,0.0,31.225,58.76875,95.475,0.0,11.68
2018-08-10,0.0,34.58125,47.85625,95.4625,0.0,4.9
2018-08-11,0.0,34.61875,46.19375,94.65,0.32,6.106666667
2018-08-12,0.0,30.84375,59.5375,93.05,0.0,6.446666667
2018-08-13,2.74375,28.225,86.60625,95.3875,0.326666667,11.96666667
2018-08-14,3.4875,30.36875,78.76875,96.90625,0.226666667,9.673333333
2018-08-15,0.0875,30.65625,79.16875,94.33125,1.32,11.9
2018-08-16,15.79375,28.13125,79.19375,97.61875,2.013333333,9.806666667
2018-08-17,3.55,28.775,83.35,97.36875,0.226666667,11.3
2018-08-18,0.24375,28.06875,82.3625,94.825,0.046666667,13.23333333
2018-08-19,17.11875,30.5,76.575,95.6125,0.053333333,10.85333333
2018-08-20,23.54375,27.60625,87.40625,97.2875,1.366666667,13.57333333
2018-08-21,30.65625,25.5375,82.7375,96.63125,1.26,14.84
2018-08-22,0.18125,30.43125,75.95625,95.33125,0.646666667,13.66
2018-08-23,0.06875,32.2625,70.88125,92.34375,0.066666667,11.24
2018-08-24,2.1625,31.54375,72.2375,95.0375,0.64,13.47333333
2018-08-25,0.0,32.51875,69.03125,95.5875,0.02,13.75333333
2018-08-26,0.0625,31.475,70.89375,90.21875,0.306666667,12.49333333
2018-08-27,7.96875,29.93125,77.68125,96.1375,0.286666667,9.966666667
2018-08-28,0.05,29.96875,79.74375,95.55625,0.026666667,9.98
2018-08-29,0.2875,31.2875,75.15625,96.53125,0.0,10.34
2018-08-30,0.06875,33.15625,64.025,94.1875,0.0,9.766666667
2018-08-31,0.0,33.39375,57.45,89.11875,0.526666667,10.68666667
2018-09-01,0.0,30.075,35.2125,92.2,0.0,8.053333333
2018-09-02,0.0,34.075,26.05,90.73125,0.0,6.093333333
2018-09-03,0.0,36.725,18.8125,73.15625,0.0,8.86
2018-09-04,6.48125,34.21875,43.80625,97.50625,0.0,7.28
2018-09-05,0.0,41.08125,29.73125,75.11875,0.08,11.00666667
2018-09-06,0.19375,34.325,47.8875,87.2625,0.12,7.626666667
2018-09-07,15.025,26.78125,77.775,97.43125,0.553333333,9.526666667
2018-09-08,1.99375,30.30625,75.98125,96.5625,0.106666667,11.75333333
2018-09-09,0.0,33.94375,50.825,95.83125,0.0,6.88
2018-09-10,0.0,34.66875,43.35,92.88125,0.0,5.28
2018-09-11,0.0,34.35625,45.11875,94.94375,0.0,6.086666667
2018-09-12,0.0,31.6875,52.01875,93.4,0.0,6.833333333
2018-09-13,0.95625,33.71875,60.15,96.79375,0.0,10.46666667
2018-09-14,0.01875,35.1875,49.6,90.4,0.0,6.373333333
2018-09-15,2.475,35.46875,50.65625,95.93125,0.0,6.006666667
2018-09-16,0.01875,35.54375,45.68125,92.64375,0.0,6.52
2018-09-17,0.0,35.0875,50.91875,94.03125,0.013333333,7.3
2018-09-18,10.7875,34.79375,52.4125,94.6375,0.046666667,10.06666667
2018-09-19,1.58125,33.6375,63.7625,95.9,0.0,9.506666667
2018-09-20,1.2125,30.85625,71.4625,95.26875,0.0,8.44
2018-09-21,4.4375,30.4625,74.41875,96.34375,0.0,8.946666667
2018-09-22,25.3625,25.10625,84.00625,97.40625,0.0,10.76666667
2018-09-23,0.01875,32.9,70.96875,95.68125,0.846666667,8.513333333
2018-09-24,0.01875,34.84375,56.15,95.775,0.0,6.82
2018-09-25,0.0375,34.55625,61.5125,96.1125,0.0,6.913333333
2018-09-26,0.2375,34.66875,55.31875,96.06875,0.0,5.406666667
2018-09-27,0.0,34.5625,62.0375,94.50625,0.0,7.08
2018-09-28,0.05,34.33125,59.2125,94.68125,0.0,4.673333333
2018-09-29,1.38125,34.7,57.99375,96.0625,0.0,5.7
2018-09-30,4.49375,34.875,62.7875,96.11875,0.053333333,5.02
2018-10-01,0.0,30.0125,38.90625,89.90625,0.0,6.74
2018-10-02,0.0,33.0375,41.34375,94.6625,0.0,7.893333333
2018-10-03,0.0,36.6875,24.09375,87.1,0.0,7.68
2018-10-04,0.0,35.49375,41.925,92.8625,0.033333333,10.52
2018-10-05,0.0,40.1125,33.5,78.70625,0.166666667,11.82
2018-10-06,0.49375,35.25625,47.18125,83.7875,0.4,11.56
2018-10-07,5.7,28.4375,82.5625,97.89375,0.0,11.40666667
2018-10-08,1.1875,33.19375,66.2125,94.65,0.0,11.14
2018-10-09,0.0,34.8625,46.01875,92.375,0.0,4.493333333
2018-10-10,0.0,34.3875,43.25625,88.65625,0.0,6.226666667
2018-10-11,0.0,34.18125,41.1625,94.30625,0.226666667,7.026666667
2018-10-12,0.0,30.73125,55.9,90.53125,0.013333333,9.406666667
2018-10-13,0.0,32.45625,58.8625,95.9,0.0,7.773333333
2018-10-14,0.0,34.4875,48.1,95.55625,0.0,6.733333333
2018-10-15,0.05,34.025,51.83125,94.80625,0.0,6.3
2018-10-16,0.0,33.6125,57.9,96.7625,0.0,5.286666667
2018-10-17,0.0,33.88125,54.975,96.59375,0.0,5.813333333
2018-10-18,0.0,33.975,46.89375,96.675,0.0,5.733333333
2018-10-19,0.0,34.7,41.95625,97.075,0.0,5.266666667
2018-10-20,0.0,34.61875,36.84375,93.6,0.0,5.56
2018-10-21,0.0,35.10625,39.10625,92.84375,0.0,5.5
2018-10-22,0.0,35.33125,40.35625,95.55,0.0,6.04
2018-10-23,0.0,35.8,35.95625,93.125,0.0,4.893333333
2018-10-24,0.0,35.7,42.64375,92.3875,0.0,4.8
2018-10-25,0.0,34.10625,52.625,96.58125,0.0,5.166666667
2018-10-26,0.0,34.675,27.525,90.975,0.0,7.006666667
2018-10-27,0.0,34.31875,25.6125,86.69375,0.0,6.6
2018-10-28,0.0,33.95625,23.9125,84.55,0.0,7.12
2018-10-29,0.0,33.1875,28.9375,81.95625,0.0,8.566666667
2018-10-30,0.0,32.4625,28.98125,74.7875,0.166666667,10.62666667
2018-10-31,0.0,32.8125,32.26875,82.04375,0.0,7.226666667
2018-11-01,0.0,30.86875,30.75625,86.60625,0.0,6.48
2018-11-02,0.01875,31.4625,52.06875,93.08125,0.0,8.366666667
2018-11-03,0.0,36.7125,29.36875,78.3125,0.0,7.553333333
2018-11-04,0.0,36.0875,37.16875,90.50625,0.806666667,11.41333333
2018-11-05,0.0,39.06875,33.1,75.54375,1.013333333,11.22
2018-11-06,3.60625,36.2875,46.4125,90.5375,0.526666667,14.10666667
2018-11-07,0.0,31.21875,72.675,88.35,1.693333333,12.74666667
2018-11-08,30.75,32.13125,65.78125,97.76875,0.166666667,13.76
2018-11-09,1.81875,35.175,49.1625,93.80625,0.0,7.473333333
2018-11-10,0.0,33.0375,50.05,84.0875,0.18,8.833333333
2018-11-11,0.0,33.45625,32.7875,89.0625,0.02,6.033333333
2018-11-12,0.0,30.79375,57.25625,90.34375,1.353333333,8.693333333
2018-11-13,0.0,32.14375,23.08125,75.63125,0.053333333,7.073333333
2018-11-14,0.0,33.01875,24.45,81.74375,0.293333333,6.906666667
2018-11-15,0.0,33.70625,24.975,86.9875,0.04,6.026666667
2018-11-16,0.0,33.81875,28.98125,83.975,0.24,6.393333333
2018-11-17,0.0,34.9625,28.9,91.35625,0.04,5.146666667
2018-11-18,0.9375,34.33125,48.40625,93.9875,0.04,7.206666667
2018-11-19,0.0,34.18125,54.81875,95.84375,0.426666667,6.66
2018-11-20,0.0,34.325,46.40625,93.15,0.2,7.066666667
2018-11-21,0.0,33.3625,45.7875,94.49375,0.293333333,7.013333333
2018-11-22,0.0,32.9875,34.95625,90.2375,0.186666667,9.233333333
2018-11-23,0.0,33.64375,33.31875,87.88125,0.28,6.433333333
2018-11-24,0.0,31.79375,43.35,90.825,0.133333333,4.506666667
2018-11-25,0.0,32.26875,31.3125,86.6375,0.0,6.46
2018-11-26,0.0,31.6,26.8625,86.975,0.0,6.626666667
2018-11-27,0.0,31.3375,28.40625,87.9875,0.293333333,6.753333333
2018-11-28,0.0,32.00625,34.95625,90.51875,0.266666667,6.586666667
2018-11-29,0.0,31.73125,35.8375,89.575,0.293333333,6.96
2018-11-30,0.0,32.3875,31.93125,85.825,0.333333333,6.173333333
2018-12-01,0.0,32.6875,30.8625,86.78125,0.0,5.88
2018-12-02,0.0,30.39375,48.5375,94.90625,0.606666667,11.91333333
2018-12-03,0.0,36.2,25.91875,85.2625,0.0,9.406666667
2018-12-04,0.0,37.075,27.78125,80.10625,0.0,11.04
2018-12-05,0.225,41.975,22.2625,80.2375,0.906666667,12.22666667
2018-12-06,8.35,32.2,64.08125,97.1375,0.26,12.89333333
2018-12-07,2.1875,29.11875,77.2,95.0125,0.4,10.32666667
2018-12-08,86.3125,24.84375,83.29375,94.05,1.4,12.55333333
2018-12-09,0.01875,35.5625,46.33125,94.625,0.0,6.62
2018-12-10,0.0,31.78125,49.31875,84.04375,0.253333333,10.99333333
2018-12-11,0.0,33.23125,27.0375,84.525,0.306666667,6.306666667
2018-12-12,0.0,29.575,61.25,92.78125,0.0,7.96
2018-12-13,0.0,31.3375,53.9625,92.35,0.2,7.466666667
2018-12-14,9.53125,29.8875,54.2875,94.16875,0.293333333,7.586666667
2018-12-15,0.0,25.6875,81.53125,96.14375,0.0,5.92
2018-12-16,0.0,29.59375,40.96875,88.40625,0.093333333,6.186666667
2018-12-17,4.99375,25.10625,48.875,94.33125,0.34,7.113333333
2018-12-18,8.03125,18.89375,89.9875,97.7875,1.5,8.926666667
2018-12-19,0.0,21.85,81.54375,96.39375,0.586666667,9.46
2018-12-20,0.0,27.15625,65.08125,94.3625,0.0,5.88
2018-12-21,0.0,28.01875,57.275,95.9,0.0,5.0
2018-12-22,0.0,29.59375,47.5,96.75,0.0,5.213333333
2018-12-23,0.0,29.61875,50.0125,95.73125,0.0,5.02
2018-12-24,0.0,30.13125,50.81875,96.9375,0.0,4.3
2018-12-25,0.0,29.73125,47.5625,95.5,0.0,5.086666667
2018-12-26,0.0,31.225,36.25,93.75625,0.0,5.92
2018-12-27,0.0,30.6625,56.24375,96.10625,0.526666667,8.973333333
2018-12-28,0.0,28.8875,62.2875,94.5875,0.0,5.393333333
2018-12-29,0.0,27.65,29.2375,77.8,0.0,7.746666667
2018-12-30,0.0,27.76875,32.375,82.46875,0.0,5.813333333
2018-12-31,0.0,28.0125,29.9125,85.3375,0.0,5.053333333
2019-01-01,0.0,28.445,24.27,85.535,0.0,5.95
2019-01-02,0.0,29.91,43.135,96.625,0.0,8.51
2019-01-03,0.055,32.47,37.625,92.615,0.0,8.005
2019-01-04,0.0,41.3,17.23,81.43,0.24,9.085
2019-01-05,0.0,41.38,22.845,75.135,0.225,9.735
2019-01-06,0.015,41.49,26.89,73.345,0.68,12.68
2019-01-07,11.825,30.115,74.49,97.03,0.015,13.74
2019-01-08,5.48,33.34,65.395,95.74,0.265,12.025
2019-01-09,74.59,32.33,77.32,98.635,0.035,10.395
2019-01-10,1.96,31.685,79.7,98.38,0.0,6.875
2019-01-11,2.355,30.9,80.985,98.46,0.0,5.28
2019-01-12,0.0,32.75,52.17,97.715,0.0,4.99
2019-01-13,0.0,29.47,51.62,95.59,0.035,9.07
2019-01-14,0.0,30.55,45.205,95.44,0.0,9.04
2019-01-15,0.0,31.425,42.51,95.24,0.0,7.32
2019-01-16,0.0,30.64,42.745,95.015,0.0,6.795
2019-01-17,0.0,30.855,27.41,89.375,0.0,5.575
2019-01-18,0.0,30.47,38.53,95.12,0.0,6.915
2019-01-19,0.0,31.35,37.865,96.355,0.0,6.445
2019-01-20,0.0,31.095,36.235,93.66,0.0,6.835
2019-01-21,0.0,31.965,25.745,95.53,0.0,6.355
2019-01-22,0.0,31.535,35.255,96.895,0.295,7.395
2019-01-23,0.0,30.81,40.705,95.67,0.38,10.925
2019-01-24,0.0,30.63,46.2,94.625,0.0,8.955
